source_status	path	classification	destination	evidence
M	src/Bot/Cmd/PlayerbotCommandServer.h	extracted_implementation	mod-playerbots-mcp	mcp_transport_call_site
A	src/Bot/Cmd/PlayerbotVerificationOperation.cpp	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	src/Bot/Cmd/PlayerbotVerificationOperation.h	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	src/Bot/Cmd/PlayerbotVerificationProtocol.cpp	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	src/Bot/Cmd/PlayerbotVerificationProtocol.h	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	src/Bot/Cmd/PlayerbotVerificationServer.cpp	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	src/Bot/Cmd/PlayerbotVerificationServer.h	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	src/Bot/Economy/PlayerbotEconomyChains.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Bot/Economy/PlayerbotEconomyConsumption.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Bot/Economy/PlayerbotEconomyConsumption.h	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Bot/Economy/PlayerbotEconomyCoordinator.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Bot/Economy/PlayerbotEconomyCoordinator.h	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Bot/Economy/PlayerbotEconomyGathering.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Bot/Economy/PlayerbotEconomyGathering.h	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Bot/Economy/PlayerbotEconomyMarket.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Bot/Economy/PlayerbotEconomyMarket.h	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Bot/Economy/PlayerbotEconomyPolicy.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Bot/Economy/PlayerbotEconomyPolicy.h	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Bot/Economy/PlayerbotEconomyRuntime.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Bot/Economy/PlayerbotEconomyRuntime.h	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Bot/Economy/PlayerbotEconomyTrace.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Bot/Economy/PlayerbotEconomyTrace.h	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Bot/Economy/PlayerbotProfessionCapability.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Bot/Economy/PlayerbotProfessionCapability.h	extracted_implementation	mod-playerbots-economy	economy_domain
M	src/Bot/Engine/Action/Action.h	extracted_implementation	mod-playerbots-telemetry	telemetry_state_implementation
M	src/Bot/Engine/Engine.cpp	retained_seam	mod-playerbots	generic_extension_dispatch
M	src/Bot/Engine/Engine.h	extracted_implementation	mod-playerbots-telemetry	telemetry_state_implementation
M	src/Bot/Engine/ExternalEventHelper.cpp	retained_seam	mod-playerbots	generic_extension_dispatch
M	src/Bot/Engine/ExternalEventHelper.h	retained_seam	mod-playerbots	generic_extension_dispatch
M	src/Bot/Factory/PlayerbotFactory.cpp	retained_seam	mod-playerbots	generic_extension_dispatch
M	src/Bot/Factory/PlayerbotFactory.h	extracted_implementation	mod-playerbots-economy	economy_call_site
A	src/Bot/Factory/RandomPlayerbotCleanupPlan.cpp	extracted_implementation	mod-playerbots-lifecycle	lifecycle_domain
A	src/Bot/Factory/RandomPlayerbotCleanupPlan.h	extracted_implementation	mod-playerbots-lifecycle	lifecycle_domain
A	src/Bot/Factory/RandomPlayerbotFactionBalance.h	irreducible_compatibility	mod-playerbots	faction_invite_transport_compatibility
M	src/Bot/Factory/RandomPlayerbotFactory.cpp	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
M	src/Bot/Factory/RandomPlayerbotFactory.h	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
A	src/Bot/Factory/RandomPlayerbotPurgePublisher.h	extracted_implementation	mod-playerbots-lifecycle	lifecycle_domain
A	src/Bot/Personality/PlayerbotCareerPlan.cpp	extracted_implementation	mod-playerbots-economy	economy_call_site
A	src/Bot/Personality/PlayerbotCareerPlan.h	extracted_implementation	mod-playerbots-economy	economy_call_site
A	src/Bot/Personality/PlayerbotFictionalIdentity.cpp	extracted_implementation	mod-playerbot-personality	personality_domain
A	src/Bot/Personality/PlayerbotFictionalIdentity.h	extracted_implementation	mod-playerbot-personality	personality_domain
A	src/Bot/Personality/PlayerbotPersonality.cpp	extracted_implementation	mod-playerbot-personality	personality_domain
A	src/Bot/Personality/PlayerbotPersonality.h	extracted_implementation	mod-playerbot-personality	personality_domain
A	src/Bot/Personality/PlayerbotPersonalityMgr.cpp	extracted_implementation	mod-playerbot-personality	personality_domain
A	src/Bot/Personality/PlayerbotPersonalityMgr.h	extracted_implementation	mod-playerbot-personality	personality_domain
M	src/Bot/PlayerbotAI.cpp	retained_seam	mod-playerbots	generic_extension_dispatch
M	src/Bot/PlayerbotAI.h	retained_seam	mod-playerbots	generic_extension_dispatch
M	src/Bot/RandomPlayerbotMgr.cpp	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
M	src/Bot/RandomPlayerbotMgr.h	extracted_implementation	mod-playerbots-economy	economy_call_site
A	src/Bot/Social/PlayerbotSocialControl.cpp	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialControl.h	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialControlWork.cpp	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialControlWork.h	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialExtraction.cpp	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialExtraction.h	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialMgr.cpp	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialMgr.h	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialPolicy.cpp	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialPolicy.h	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialPromptContext.cpp	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialPromptContext.h	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialProvider.cpp	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialProvider.h	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialRepository.cpp	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialRepository.h	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialRoute.cpp	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialRoute.h	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Social/PlayerbotSocialTypes.h	extracted_implementation	mod-playerbots-social	social_domain
A	src/Bot/Telemetry/PlayerbotEconomyTelemetry.cpp	extracted_implementation	mod-playerbots-telemetry	telemetry_domain
A	src/Bot/Telemetry/PlayerbotGrindDestinationPolicy.h	extracted_implementation	mod-playerbots-recovery	recovery_domain
A	src/Bot/Telemetry/PlayerbotInspector.cpp	extracted_implementation	mod-playerbots-telemetry	telemetry_domain
A	src/Bot/Telemetry/PlayerbotInspector.h	extracted_implementation	mod-playerbots-telemetry	telemetry_domain
A	src/Bot/Telemetry/PlayerbotLoopMonitor.cpp	extracted_implementation	mod-playerbots-recovery	recovery_domain
A	src/Bot/Telemetry/PlayerbotLoopMonitor.h	extracted_implementation	mod-playerbots-recovery	recovery_domain
A	src/Bot/Telemetry/PlayerbotObjectiveQuarantine.cpp	extracted_implementation	mod-playerbots-recovery	recovery_domain
A	src/Bot/Telemetry/PlayerbotObjectiveQuarantine.h	extracted_implementation	mod-playerbots-recovery	recovery_domain
A	src/Bot/Telemetry/PlayerbotTelemetry.cpp	extracted_implementation	mod-playerbots-telemetry	telemetry_domain
A	src/Bot/Telemetry/PlayerbotTelemetry.h	extracted_implementation	mod-playerbots-telemetry	telemetry_domain
A	src/Bot/Telemetry/PlayerbotVerificationState.cpp	extracted_implementation	mod-playerbots-telemetry	telemetry_domain
A	src/Bot/Telemetry/PlayerbotVerificationState.h	extracted_implementation	mod-playerbots-telemetry	telemetry_domain
M	src/Mgr/Security/PlayerbotSecurity.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Mgr/Travel/TravelMgr.cpp	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Mgr/Travel/TravelMgr.h	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Mgr/Travel/TravelNode.cpp	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
M	src/Mgr/Travel/TravelNode.h	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
M	src/PlayerbotAIConfig.cpp	retained_seam	mod-playerbots	generic_extension_dispatch
M	src/PlayerbotAIConfig.h	retained_seam	mod-playerbots	generic_extension_dispatch
M	src/Script/PlayerbotCommandScript.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Script/Playerbots.cpp	retained_seam	mod-playerbots	generic_extension_dispatch
M	src/Script/WorldThr/PlayerbotOperations.h	irreducible_compatibility	mod-playerbots	pending_invite_cancellation
M	src/Util/BroadcastHelper.cpp	retained_seam	mod-playerbots	generic_extension_dispatch
A	tests/PlayerbotCareerPlanTest.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	tests/PlayerbotCommandServerTest.cpp	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	tests/PlayerbotEconomyConsumptionTest.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	tests/PlayerbotEconomyCoordinatorTest.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	tests/PlayerbotEconomyGatheringTest.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	tests/PlayerbotEconomyMarketTest.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	tests/PlayerbotEconomyPolicyTest.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	tests/PlayerbotEconomyScenarioTest.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	tests/PlayerbotEconomyTraceTest.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	tests/PlayerbotFictionalIdentityTest.cpp	extracted_implementation	mod-playerbot-personality	personality_domain
A	tests/PlayerbotGatheringActionTest.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	tests/PlayerbotGatheringDestinationTest.cpp	extracted_implementation	mod-playerbots-recovery	recovery_domain
A	tests/PlayerbotInspectorTest.cpp	extracted_implementation	mod-playerbots-telemetry	telemetry_domain
A	tests/PlayerbotInviteLifecycleTest.cpp	irreducible_compatibility	mod-playerbots	faction_invite_transport_compatibility
A	tests/PlayerbotLoopMonitorTest.cpp	extracted_implementation	mod-playerbots-recovery	recovery_domain
A	tests/PlayerbotMovementRecoveryTest.cpp	extracted_implementation	mod-playerbots-recovery	recovery_domain
A	tests/PlayerbotPersonalityTest.cpp	extracted_implementation	mod-playerbot-personality	personality_domain
A	tests/PlayerbotProfessionCapabilityTest.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	tests/PlayerbotRandomCleanupPolicyTest.cpp	extracted_implementation	mod-playerbots-lifecycle	lifecycle_domain
A	tests/PlayerbotSocialControlTest.cpp	extracted_implementation	mod-playerbots-social	social_domain
A	tests/PlayerbotSocialCoordinatorTest.cpp	extracted_implementation	mod-playerbots-social	social_domain
A	tests/PlayerbotSocialDeliveryTest.cpp	extracted_implementation	mod-playerbots-social	social_domain
A	tests/PlayerbotSocialExtractionTest.cpp	extracted_implementation	mod-playerbots-social	social_domain
A	tests/PlayerbotSocialPolicyTest.cpp	extracted_implementation	mod-playerbots-social	social_domain
A	tests/PlayerbotSocialRepositoryTest.cpp	extracted_implementation	mod-playerbots-social	social_domain
A	tests/PlayerbotSocialRouteTest.cpp	extracted_implementation	mod-playerbots-social	social_domain
A	tests/PlayerbotTelemetryTest.cpp	extracted_implementation	mod-playerbots-telemetry	telemetry_domain
A	tests/PlayerbotTransportTravelTest.cpp	irreducible_compatibility	mod-playerbots	faction_invite_transport_compatibility
A	tests/PlayerbotVerificationOperationTest.cpp	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	tests/PlayerbotVerificationProtocolTest.cpp	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	tests/integration/README.md	extracted_implementation	economy+social	shared_database_test_support
A	tests/integration/economy_dod_checks.sql	extracted_implementation	mod-playerbots-economy	economy_domain
A	tests/integration/economy_migration_dod_checks.sql	extracted_implementation	mod-playerbots-economy	economy_domain
A	tests/integration/extract_prepared_statements.py	extracted_implementation	economy+social	shared_database_test_support
A	tests/integration/run_economy_migration_integration.sh	extracted_implementation	mod-playerbots-economy	economy_domain
A	tests/integration/run_social_integration.sh	extracted_implementation	mod-playerbots-social	social_domain
A	tests/integration/social_dod_checks.sql	extracted_implementation	mod-playerbots-social	social_domain
A	tests/integration/test_extract_prepared_statements.py	extracted_implementation	economy+social	shared_database_test_support
A	tools/playerbot-mcp/.gitignore	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	tools/playerbot-mcp/README.md	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	tools/playerbot-mcp/pyproject.toml	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	tools/playerbot-mcp/src/playerbot_mcp/__init__.py	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	tools/playerbot-mcp/src/playerbot_mcp/client.py	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	tools/playerbot-mcp/src/playerbot_mcp/protocol.py	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	tools/playerbot-mcp/src/playerbot_mcp/server.py	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	tools/playerbot-mcp/tests/conftest.py	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	tools/playerbot-mcp/tests/test_integration.py	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	tools/playerbot-mcp/tests/test_unit.py	extracted_implementation	mod-playerbots-mcp	mcp_domain
A	tools/playerbot-mcp/uv.lock	extracted_implementation	mod-playerbots-mcp	mcp_domain
